X,Y,id,zone,utm_zone,easting,northing,mgrs,dstrcts,dw,db,ds,drought,p_pr_sp,p_cnfrs,grwng_s,prdsp_w,rl_prdsp_w,prdsp_b,rl_prdsp_b,prdsp_s,rl_prdsp_s,prdsp__,prdsp_p,Fläch,MAPKEY,Wuchsge1,Wuchsnam,SRTMkomple
4659906.04448062,2835864.99313263,29,33,33,469830,5376540,33UVP,Freistadt,1097.5170100000,533.8888900000,137.8458000000,24.2947700000,0.5714300000,0.8367300000,382.8775500000,1634.4713400000,1.7515300000,788.2095800000,1.1964800000,321.0296500000,1.8097700000,2422.6809200000,0.6327600000,1010474133.0000000000,414,9.1,Mhlviertel,877.0000000000
4735884.13703358,2742191.53207199,30,33,33,539430,5277960,33TWN,Mrzzuschlag,927.9956400000,633.6427000000,558.4967300000,27.6494700000,0.5490200000,0.7843100000,366.1568600000,1446.5396200000,1.5501400000,770.2487500000,1.1692200000,324.5746500000,1.8297600000,2216.7883700000,0.6054200000,855760070.8999999762,2638,4.2,Nrdliche Randalpen - Ostteil,898.0000000000
4787378.00151485,2862844.51590216,31,33,33,598770,5394780,33UWP,Gnserndorf,33.3333300000,18.0409400000,8.7719300000,10.9231400000,0.0000000000,0.0526300000,174.6052600000,192.2425000000,0.2060100000,639.6554300000,0.9709800000,0.0000000000,0.0000000000,831.8979200000,0.4764400000,2575874612.0000000000,CE,8.1,Pannonisches Tief- und Hgelland,181.0000000000
4822517.67960408,2805151.14284654,32,33,33,630000,5334840,33UXP,Gnserndorf,33.3333300000,18.0409400000,8.7719300000,10.9231400000,0.0000000000,0.0526300000,174.6052600000,192.2425000000,0.2060100000,639.6554300000,0.9709800000,0.0000000000,0.0000000000,831.8979200000,0.4764400000,2575874612.0000000000,CE,8.1,Pannonisches Tief- und Hgelland,145.0000000000
4680981.81414669,2747188.67316717,33,33,33,485010,5286660,33TVN,Liezen,1005.3445900000,1425.5133600000,83.6849500000,36.4816400000,0.4177200000,0.6962000000,329.9367100000,848.0229000000,0.9087600000,848.6508900000,1.2882300000,356.8857300000,2.0119100000,1696.6737900000,0.5142400000,1403226660.0000000000,2638,4.2,Nrdliche Randalpen - Ostteil,1613.0000000000
4612059.19898041,2717687.73113102,34,33,33,414360,5261850,33TVN,Stainach,1567.3533100000,1095.9176000000,90.1997500000,39.6276700000,0.4044900000,0.7191000000,330.5955100000,1011.8512300000,1.0843200000,791.8538800000,1.2020100000,243.9294500000,1.3751300000,1803.7051100000,0.5455900000,1929640355.0000000000,25E8,2.2,Nrdliche Zwischenalpen - Ostteil,1600.0000000000
4728907.46917658,2699556.184571,35,33,33,529680,5235900,33TWN,Graz,2585.9319000000,1137.9659500000,58.5125400000,32.9642500000,0.3064500000,0.6290300000,375.0967700000,1307.8870200000,1.4015500000,1006.2941700000,1.5275300000,108.6463900000,0.6124800000,2314.1811900000,0.6169600000,1214528666.0000000000,D9,5.3,Ost- und Mittelsteirisches Bergland,630.0000000000
4692359.74381499,2679161.35292295,36,33,33,491910,5218020,33TVN,Judenburg,1346.2335200000,294.3352200000,251.9774000000,35.0884400000,0.5762700000,0.7966100000,352.2372900000,1509.8614800000,1.6179900000,449.7064600000,0.6826400000,317.6603900000,1.7907800000,1959.5679500000,0.5563200000,1107262383.0000000000,DC,3.2,stliche Zwischenalpen - Sdteil,1225.0000000000
4791385.65577346,2698734.94962481,37,33,33,591930,5230830,33TWN,Burgenland-Sd,195.8192400000,1426.9270300000,48.5323400000,20.7885000000,0.0597000000,0.3880600000,309.4925400000,515.7921500000,0.5527300000,1286.7927900000,1.9533200000,0.0000000000,0.0000000000,1802.5849500000,0.5824300000,1481294508.0000000000,DE,8.2,Subillyrisches Hgel- und Terrassenland,359.0000000000
4623770.54133247,2774002.69757272,38,33,33,429720,5317260,33UVP,Kirchdorf an der Krems,1407.3504300000,1361.7094000000,103.9316200000,36.7130100000,0.2000000000,0.4923100000,363.5846200000,608.2953000000,0.6518600000,872.3689800000,1.3242300000,236.6932300000,1.3343400000,1480.6642800000,0.4072400000,1207869795.0000000000,9F,7.1,Nrdl. Alpenvorland - Westteil,484.0000000000
4802936.65843959,2791652.12438002,39,33,33,609570,5322720,33UXP,Wien-Umgebung,173.6111100000,60.5808100000,10.4772700000,10.5390000000,0.0000000000,0.1136400000,275.6590900000,1044.6135300000,1.1194300000,532.4327900000,0.8082200000,65.6942200000,0.3703400000,1577.0463200000,0.5721000000,1197942730.0000000000,CE,8.1,Pannonisches Tief- und Hgelland,178.0000000000
4666050.75894727,2717044.05269711,40,33,33,468150,5257590,33TVN,Liezen,1005.3445900000,1425.5133600000,83.6849500000,36.4816400000,0.4177200000,0.6962000000,329.9367100000,848.0229000000,0.9087600000,848.6508900000,1.2882300000,356.8857300000,2.0119100000,1696.6737900000,0.5142400000,1403226660.0000000000,260F,3.1,stliche Zwischenalpen - Nordteil,904.0000000000
4587507.11485474,2796583.23933624,41,33,33,395040,5342220,33UUP,Ried im Innkreis,1023.8888900000,1542.3611100000,111.1111100000,25.8729200000,0.5000000000,0.7500000000,476.0000000000,1439.6473300000,1.5427500000,1332.7011900000,2.0230000000,236.1321300000,1.3311700000,2772.3485200000,0.5824300000,607330633.0000000000,9F,7.1,Nrdl. Alpenvorland - Westteil,532.0000000000
4492905.85373545,2650182.31120611,42,33,33,291180,5202330,33TTN,Lienz (Osttirol),275.5515900000,43.2301600000,66.3472200000,20.9150000000,0.3928600000,0.8392900000,356.0714300000,784.5178100000,0.8407000000,0.0000000000,0.0000000000,253.9312300000,1.4315100000,784.5178100000,0.2203300000,2028926895.0000000000,25F7,1.2,Subkontinentale Innenalpen - Westteil,2492.0000000000
4442182.53462612,2682867.94685689,43,32,32,696720,5235960,32TPT,Innsbruck+Steinach,223.9895200000,93.1551400000,46.6708600000,34.3522600000,0.3584900000,0.7735800000,305.7547200000,906.5349900000,0.9714600000,415.4448200000,0.6306300000,211.9329000000,1.1947500000,1321.9798100000,0.4323700000,2080099413.0000000000,2623,1.2,Subkontinentale Innenalpen - Westteil,1824.0000000000
4454103.44263329,2692741.67134591,44,32,32,708510,5245980,32TQT,Schwaz,396.6469100000,648.2246900000,155.9679000000,41.8588600000,0.4222200000,0.7333300000,324.5111100000,1191.7285500000,1.2770800000,881.7042600000,1.3384000000,145.2829900000,0.8190200000,2073.4328100000,0.6389400000,1846710952.0000000000,25F3,2.1,Nrdliche Zwischenalpen - Westteil,1735.0000000000
4550022.02011556,2768704.63837131,45,33,33,355830,5316900,33TUP,Salzburg (Flachgau),1675.9574500000,1266.4420800000,64.2316800000,41.3878900000,0.1276600000,0.4042600000,403.4255300000,665.4824200000,0.7131400000,888.7401300000,1.3490800000,236.5948700000,1.3337800000,1554.2225500000,0.3852600000,1110940165.0000000000,9F,7.1,Nrdl. Alpenvorland - Westteil,592.0000000000
